keyword,category,industry,source_sheets,search_intent,funnel_stage,primary_or_secondary,target_url,target_page_type,content_type,cluster,seasonality,priority,cannibalization_risk,status,reason
travel company corporate gifts,All,Hospitality / Travel,SEO Keywords,industry-specific,middle,supporting,/industries,hub,hub page copy,industries,evergreen,4,low,consolidated,"Hospitality / Travel has too few genuinely distinct keywords to fill a non-duplicative page, so it is covered in the 'Sectors covered without a dedicated page' section of /industries and routed to the matching use-case page. A page per industry tag here would be doorway-page behaviour."
IT company corporate gifts,All,IT,SEO Keywords,industry-specific,bottom,primary,/industries/it-software-saas,industry-landing,landing page copy,industries,evergreen,1,none,targeted,Declared primary keyword of /industries/it-software-saas.
IT employee welcome kit,All,IT,SEO Keywords,employee gifting,bottom,secondary,/industries/it-software-saas,industry-landing,landing page copy,industries,evergreen,2,none,targeted,Declared secondary keyword of /industries/it-software-saas.
IT onboarding welcome kit,All,IT,SEO Keywords,employee gifting,none,none,,none,none,excluded,evergreen,4,none,not-targeted,Machine-generated concatenation of the industry label and a generic term (retains the source spreadsheet's ' / ' separator). Not a phrase anyone types into a search engine; targeting it would produce copy no reader benefits from.
IT team gifts,All,IT,SEO Keywords,industry-specific,none,none,,none,none,excluded,evergreen,4,none,not-targeted,Machine-generated concatenation of the industry label and a generic term (retains the source spreadsheet's ' / ' separator). Not a phrase anyone types into a search engine; targeting it would produce copy no reader benefits from.
software company onboarding kit,All,IT,SEO Keywords,employee gifting,bottom,secondary,/industries/it-software-saas,industry-landing,landing page copy,industries,evergreen,2,none,targeted,Declared secondary keyword of /industries/it-software-saas.
tech company corporate gifts,All,IT,SEO Keywords,industry-specific,middle,supporting,/industries/it-software-saas,industry-landing,landing page copy,industries,evergreen,3,low,targeted,Industry-tagged term supported by the IT content on /industries/it-software-saas.
law firm corporate gifts,All,Legal,SEO Keywords,industry-specific,middle,supporting,/industries,hub,hub page copy,industries,evergreen,4,low,consolidated,"Legal has too few genuinely distinct keywords to fill a non-duplicative page, so it is covered in the 'Sectors covered without a dedicated page' section of /industries and routed to the matching use-case page. A page per industry tag here would be doorway-page behaviour."
law firm employee welcome kit,All,Legal,SEO Keywords,employee gifting,bottom,supporting,/industries,hub,hub page copy,industries,evergreen,4,low,consolidated,"Legal has too few genuinely distinct keywords to fill a non-duplicative page, so it is covered in the 'Sectors covered without a dedicated page' section of /industries and routed to the matching use-case page. A page per industry tag here would be doorway-page behaviour."
law firm onboarding kit,All,Legal,SEO Keywords,employee gifting,bottom,supporting,/industries,hub,hub page copy,industries,evergreen,4,low,consolidated,"Legal has too few genuinely distinct keywords to fill a non-duplicative page, so it is covered in the 'Sectors covered without a dedicated page' section of /industries and routed to the matching use-case page. A page per industry tag here would be doorway-page behaviour."
law office corporate gifts,All,Legal,SEO Keywords,industry-specific,middle,supporting,/industries,hub,hub page copy,industries,evergreen,4,low,consolidated,"Legal has too few genuinely distinct keywords to fill a non-duplicative page, so it is covered in the 'Sectors covered without a dedicated page' section of /industries and routed to the matching use-case page. A page per industry tag here would be doorway-page behaviour."
legal client gifts,All,Legal,SEO Keywords,client gifting,none,none,,none,none,excluded,evergreen,4,none,not-targeted,Machine-generated concatenation of the industry label and a generic term (retains the source spreadsheet's ' / ' separator). Not a phrase anyone types into a search engine; targeting it would produce copy no reader benefits from.
legal joining kit,All,Legal,SEO Keywords,employee gifting,none,none,,none,none,excluded,evergreen,4,none,not-targeted,Machine-generated concatenation of the industry label and a generic term (retains the source spreadsheet's ' / ' separator). Not a phrase anyone types into a search engine; targeting it would produce copy no reader benefits from.
legal team gifts,All,Legal,SEO Keywords,industry-specific,none,none,,none,none,excluded,evergreen,4,none,not-targeted,Machine-generated concatenation of the industry label and a generic term (retains the source spreadsheet's ' / ' separator). Not a phrase anyone types into a search engine; targeting it would produce copy no reader benefits from.
logistics client gifts,All,Logistics,SEO Keywords,client gifting,none,none,,none,none,excluded,evergreen,4,none,not-targeted,Machine-generated concatenation of the industry label and a generic term (retains the source spreadsheet's ' / ' separator). Not a phrase anyone types into a search engine; targeting it would produce copy no reader benefits from.
logistics corporate gifts,All,Logistics,SEO Keywords,industry-specific,none,none,,none,none,excluded,evergreen,4,none,not-targeted,Machine-generated concatenation of the industry label and a generic term (retains the source spreadsheet's ' / ' separator). Not a phrase anyone types into a search engine; targeting it would produce copy no reader benefits from.
logistics employee gifts,All,Logistics,SEO Keywords,industry-specific,none,none,,none,none,excluded,evergreen,4,none,not-targeted,Machine-generated concatenation of the industry label and a generic term (retains the source spreadsheet's ' / ' separator). Not a phrase anyone types into a search engine; targeting it would produce copy no reader benefits from.
logistics employee welcome kit,All,Logistics,SEO Keywords,employee gifting,none,none,,none,none,excluded,evergreen,4,none,not-targeted,Machine-generated concatenation of the industry label and a generic term (retains the source spreadsheet's ' / ' separator). Not a phrase anyone types into a search engine; targeting it would produce copy no reader benefits from.
logistics joining kit,All,Logistics,SEO Keywords,employee gifting,none,none,,none,none,excluded,evergreen,4,none,not-targeted,Machine-generated concatenation of the industry label and a generic term (retains the source spreadsheet's ' / ' separator). Not a phrase anyone types into a search engine; targeting it would produce copy no reader benefits from.
logistics onboarding kit,All,Logistics,SEO Keywords,employee gifting,none,none,,none,none,excluded,evergreen,4,none,not-targeted,Machine-generated concatenation of the industry label and a generic term (retains the source spreadsheet's ' / ' separator). Not a phrase anyone types into a search engine; targeting it would produce copy no reader benefits from.
logistics team gifts,All,Logistics,SEO Keywords,industry-specific,none,none,,none,none,excluded,evergreen,4,none,not-targeted,Machine-generated concatenation of the industry label and a generic term (retains the source spreadsheet's ' / ' separator). Not a phrase anyone types into a search engine; targeting it would produce copy no reader benefits from.
factory employee gifts,All,Manufacturing,SEO Keywords,industry-specific,middle,secondary,/industries/manufacturing,industry-landing,landing page copy,industries,evergreen,2,none,targeted,Declared secondary keyword of /industries/manufacturing.
manufacturing corporate gifts,All,Manufacturing,SEO Keywords,industry-specific,bottom,primary,/industries/manufacturing,industry-landing,landing page copy,industries,evergreen,1,none,targeted,Declared primary keyword of /industries/manufacturing.
manufacturing employee welcome kit,All,Manufacturing,SEO Keywords,employee gifting,bottom,secondary,/industries/manufacturing,industry-landing,landing page copy,industries,evergreen,2,none,targeted,Declared secondary keyword of /industries/manufacturing.
manufacturing joining kit,All,Manufacturing,SEO Keywords,employee gifting,bottom,secondary,/industries/manufacturing,industry-landing,landing page copy,industries,evergreen,2,none,targeted,Declared secondary keyword of /industries/manufacturing.
manufacturing onboarding kit,All,Manufacturing,SEO Keywords,employee gifting,none,none,,none,none,excluded,evergreen,4,none,not-targeted,Machine-generated concatenation of the industry label and a generic term (retains the source spreadsheet's ' / ' separator). Not a phrase anyone types into a search engine; targeting it would produce copy no reader benefits from.
manufacturing team gifts,All,Manufacturing,SEO Keywords,industry-specific,none,none,,none,none,excluded,evergreen,4,none,not-targeted,Machine-generated concatenation of the industry label and a generic term (retains the source spreadsheet's ' / ' separator). Not a phrase anyone types into a search engine; targeting it would produce copy no reader benefits from.
plant employee gifts,All,Manufacturing,SEO Keywords,industry-specific,middle,secondary,/industries/manufacturing,industry-landing,landing page copy,industries,evergreen,2,none,targeted,Declared secondary keyword of /industries/manufacturing.
agency employee welcome kit,All,Media / Marketing,SEO Keywords,employee gifting,bottom,supporting,/industries,hub,hub page copy,industries,evergreen,4,low,consolidated,"Media / Marketing has too few genuinely distinct keywords to fill a non-duplicative page, so it is covered in the 'Sectors covered without a dedicated page' section of /industries and routed to the matching use-case page. A page per industry tag here would be doorway-page behaviour."
creative agency onboarding kit,All,Media / Marketing,SEO Keywords,employee gifting,bottom,supporting,/industries,hub,hub page copy,industries,evergreen,4,low,consolidated,"Media / Marketing has too few genuinely distinct keywords to fill a non-duplicative page, so it is covered in the 'Sectors covered without a dedicated page' section of /industries and routed to the matching use-case page. A page per industry tag here would be doorway-page behaviour."
marketing agency corporate gifts,All,Media / Marketing,SEO Keywords,industry-specific,middle,supporting,/industries,hub,hub page copy,industries,evergreen,4,low,consolidated,"Media / Marketing has too few genuinely distinct keywords to fill a non-duplicative page, so it is covered in the 'Sectors covered without a dedicated page' section of /industries and routed to the matching use-case page. A page per industry tag here would be doorway-page behaviour."
marketing joining kit,All,Media / Marketing,SEO Keywords,employee gifting,bottom,supporting,/industries,hub,hub page copy,industries,evergreen,4,low,consolidated,"Media / Marketing has too few genuinely distinct keywords to fill a non-duplicative page, so it is covered in the 'Sectors covered without a dedicated page' section of /industries and routed to the matching use-case page. A page per industry tag here would be doorway-page behaviour."
marketing team gifts,All,Media / Marketing,SEO Keywords,industry-specific,middle,supporting,/industries,hub,hub page copy,industries,evergreen,4,low,consolidated,"Media / Marketing has too few genuinely distinct keywords to fill a non-duplicative page, so it is covered in the 'Sectors covered without a dedicated page' section of /industries and routed to the matching use-case page. A page per industry tag here would be doorway-page behaviour."
media company employee gifts,All,Media / Marketing,SEO Keywords,industry-specific,middle,supporting,/industries,hub,hub page copy,industries,evergreen,4,low,consolidated,"Media / Marketing has too few genuinely distinct keywords to fill a non-duplicative page, so it is covered in the 'Sectors covered without a dedicated page' section of /industries and routed to the matching use-case page. A page per industry tag here would be doorway-page behaviour."
media corporate gifts,All,Media / Marketing,SEO Keywords,industry-specific,middle,supporting,/industries,hub,hub page copy,industries,evergreen,4,low,consolidated,"Media / Marketing has too few genuinely distinct keywords to fill a non-duplicative page, so it is covered in the 'Sectors covered without a dedicated page' section of /industries and routed to the matching use-case page. A page per industry tag here would be doorway-page behaviour."
pharma client gifts,All,Pharma,SEO Keywords,client gifting,bottom,secondary,/industries/healthcare-pharma,industry-landing,landing page copy,industries,evergreen,2,none,targeted,Declared secondary keyword of /industries/healthcare-pharma.
pharma corporate gifts,All,Pharma,SEO Keywords,industry-specific,middle,secondary,/industries/healthcare-pharma,industry-landing,landing page copy,industries,evergreen,2,none,targeted,Declared secondary keyword of /industries/healthcare-pharma.
pharma employee gifts,All,Pharma,SEO Keywords,industry-specific,none,none,,none,none,excluded,evergreen,4,none,not-targeted,Machine-generated concatenation of the industry label and a generic term (retains the source spreadsheet's ' / ' separator). Not a phrase anyone types into a search engine; targeting it would produce copy no reader benefits from.
pharma joining kit,All,Pharma,SEO Keywords,employee gifting,none,none,,none,none,excluded,evergreen,4,none,not-targeted,Machine-generated concatenation of the industry label and a generic term (retains the source spreadsheet's ' / ' separator). Not a phrase anyone types into a search engine; targeting it would produce copy no reader benefits from.
pharma onboarding kit,All,Pharma,SEO Keywords,employee gifting,none,none,,none,none,excluded,evergreen,4,none,not-targeted,Machine-generated concatenation of the industry label and a generic term (retains the source spreadsheet's ' / ' separator). Not a phrase anyone types into a search engine; targeting it would produce copy no reader benefits from.
pharma sales team gifts,All,Pharma,SEO Keywords,industry-specific,middle,secondary,/industries/healthcare-pharma,industry-landing,landing page copy,industries,evergreen,2,none,targeted,Declared secondary keyword of /industries/healthcare-pharma.
pharmaceutical company gifts,All,Pharma,SEO Keywords,industry-specific,none,none,,none,none,excluded,evergreen,4,none,not-targeted,Machine-generated concatenation of the industry label and a generic term (retains the source spreadsheet's ' / ' separator). Not a phrase anyone types into a search engine; targeting it would produce copy no reader benefits from.
property company gifts,All,Real Estate,SEO Keywords,industry-specific,middle,secondary,/industries/real-estate,industry-landing,landing page copy,industries,evergreen,2,none,targeted,Declared secondary keyword of /industries/real-estate.
real estate broker gifts,All,Real Estate,SEO Keywords,industry-specific,middle,secondary,/industries/real-estate,industry-landing,landing page copy,industries,evergreen,2,none,targeted,Declared secondary keyword of /industries/real-estate.
real estate client gifts,All,Real Estate,SEO Keywords,client gifting,bottom,secondary,/industries/real-estate,industry-landing,landing page copy,industries,evergreen,2,none,targeted,Declared secondary keyword of /industries/real-estate.
real estate corporate gifts,All,Real Estate,SEO Keywords,industry-specific,bottom,primary,/industries/real-estate,industry-landing,landing page copy,industries,evergreen,1,none,targeted,Declared primary keyword of /industries/real-estate.
real estate employee welcome kit,All,Real Estate,SEO Keywords,employee gifting,bottom,secondary,/industries/real-estate,industry-landing,landing page copy,industries,evergreen,2,none,targeted,Declared secondary keyword of /industries/real-estate.
real estate joining kit,All,Real Estate,SEO Keywords,employee gifting,bottom,secondary,/industries/real-estate,industry-landing,landing page copy,industries,evergreen,2,none,targeted,Declared secondary keyword of /industries/real-estate.
real estate onboarding kit,All,Real Estate,SEO Keywords,employee gifting,bottom,secondary,/industries/real-estate,industry-landing,landing page copy,industries,evergreen,2,none,targeted,Declared secondary keyword of /industries/real-estate.
HR corporate gifts,All,Recruitment / HR,SEO Keywords,industry-specific,middle,supporting,/industries,hub,hub page copy,industries,evergreen,4,low,consolidated,"Recruitment / HR has too few genuinely distinct keywords to fill a non-duplicative page, so it is covered in the 'Sectors covered without a dedicated page' section of /industries and routed to the matching use-case page. A page per industry tag here would be doorway-page behaviour."
HR team corporate gifts,All,Recruitment / HR,SEO Keywords,industry-specific,middle,supporting,/industries,hub,hub page copy,industries,evergreen,4,low,consolidated,"Recruitment / HR has too few genuinely distinct keywords to fill a non-duplicative page, so it is covered in the 'Sectors covered without a dedicated page' section of /industries and routed to the matching use-case page. A page per industry tag here would be doorway-page behaviour."
new hire welcome gifts,All,Recruitment / HR,SEO Keywords,employee gifting,bottom,supporting,/industries,hub,hub page copy,industries,evergreen,4,low,consolidated,"Recruitment / HR has too few genuinely distinct keywords to fill a non-duplicative page, so it is covered in the 'Sectors covered without a dedicated page' section of /industries and routed to the matching use-case page. A page per industry tag here would be doorway-page behaviour."
recruitment agency gifts,All,Recruitment / HR,SEO Keywords,industry-specific,middle,supporting,/industries,hub,hub page copy,industries,evergreen,4,low,consolidated,"Recruitment / HR has too few genuinely distinct keywords to fill a non-duplicative page, so it is covered in the 'Sectors covered without a dedicated page' section of /industries and routed to the matching use-case page. A page per industry tag here would be doorway-page behaviour."
recruitment employee welcome kit,All,Recruitment / HR,SEO Keywords,employee gifting,bottom,supporting,/industries,hub,hub page copy,industries,evergreen,4,low,consolidated,"Recruitment / HR has too few genuinely distinct keywords to fill a non-duplicative page, so it is covered in the 'Sectors covered without a dedicated page' section of /industries and routed to the matching use-case page. A page per industry tag here would be doorway-page behaviour."
recruitment team gifts,All,Recruitment / HR,SEO Keywords,industry-specific,middle,supporting,/industries,hub,hub page copy,industries,evergreen,4,low,consolidated,"Recruitment / HR has too few genuinely distinct keywords to fill a non-duplicative page, so it is covered in the 'Sectors covered without a dedicated page' section of /industries and routed to the matching use-case page. A page per industry tag here would be doorway-page behaviour."
ESG corporate gifting,All,Renewable Energy / ESG,SEO Keywords,sustainability,middle,secondary,/products/wood-finish-premium-gift-set,product,landing page copy,products,evergreen,2,none,targeted,Declared secondary keyword of /products/wood-finish-premium-gift-set.
ESG employee gifts,All,Renewable Energy / ESG,SEO Keywords,sustainability,middle,supporting,/industries,hub,hub page copy,industries,evergreen,4,low,consolidated,"Renewable Energy / ESG has too few genuinely distinct keywords to fill a non-duplicative page, so it is covered in the 'Sectors covered without a dedicated page' section of /industries and routed to the matching use-case page. A page per industry tag here would be doorway-page behaviour."
eco friendly onboarding kit,All,Renewable Energy / ESG,SEO Keywords,employee gifting,bottom,supporting,/industries,hub,hub page copy,industries,evergreen,4,low,consolidated,"Renewable Energy / ESG has too few genuinely distinct keywords to fill a non-duplicative page, so it is covered in the 'Sectors covered without a dedicated page' section of /industries and routed to the matching use-case page. A page per industry tag here would be doorway-page behaviour."
green employee welcome kit,All,Renewable Energy / ESG,SEO Keywords,employee gifting,bottom,supporting,/industries,hub,hub page copy,industries,evergreen,4,low,consolidated,"Renewable Energy / ESG has too few genuinely distinct keywords to fill a non-duplicative page, so it is covered in the 'Sectors covered without a dedicated page' section of /industries and routed to the matching use-case page. A page per industry tag here would be doorway-page behaviour."
renewable energy corporate gifts,All,Renewable Energy / ESG,SEO Keywords,industry-specific,middle,supporting,/industries,hub,hub page copy,industries,evergreen,4,low,consolidated,"Renewable Energy / ESG has too few genuinely distinct keywords to fill a non-duplicative page, so it is covered in the 'Sectors covered without a dedicated page' section of /industries and routed to the matching use-case page. A page per industry tag here would be doorway-page behaviour."
sustainable team gifts,All,Renewable Energy / ESG,SEO Keywords,sustainability,middle,supporting,/industries,hub,hub page copy,industries,evergreen,4,low,consolidated,"Renewable Energy / ESG has too few genuinely distinct keywords to fill a non-duplicative page, so it is covered in the 'Sectors covered without a dedicated page' section of /industries and routed to the matching use-case page. A page per industry tag here would be doorway-page behaviour."
SaaS corporate gifts,All,Software / SaaS,SEO Keywords,industry-specific,middle,supporting,/industries/it-software-saas,industry-landing,landing page copy,industries,evergreen,3,low,targeted,Industry-tagged term supported by the Software / SaaS content on /industries/it-software-saas.
SaaS employee welcome kit,All,Software / SaaS,SEO Keywords,employee gifting,bottom,supporting,/industries/it-software-saas,industry-landing,landing page copy,industries,evergreen,3,low,targeted,Industry-tagged term supported by the Software / SaaS content on /industries/it-software-saas.
SaaS onboarding kit,All,Software / SaaS,SEO Keywords,employee gifting,bottom,supporting,/industries/it-software-saas,industry-landing,landing page copy,industries,evergreen,3,low,targeted,Industry-tagged term supported by the Software / SaaS content on /industries/it-software-saas.
SaaS team gifts,All,Software / SaaS,SEO Keywords,industry-specific,middle,supporting,/industries/it-software-saas,industry-landing,landing page copy,industries,evergreen,3,low,targeted,Industry-tagged term supported by the Software / SaaS content on /industries/it-software-saas.
software company corporate gifts,All,Software / SaaS,SEO Keywords,industry-specific,middle,supporting,/industries/it-software-saas,industry-landing,landing page copy,industries,evergreen,3,low,targeted,Industry-tagged term supported by the Software / SaaS content on /industries/it-software-saas.
software employee gifts,All,Software / SaaS,SEO Keywords,industry-specific,middle,supporting,/industries/it-software-saas,industry-landing,landing page copy,industries,evergreen,3,low,targeted,Industry-tagged term supported by the Software / SaaS content on /industries/it-software-saas.
startup tech welcome kit,All,Software / SaaS,SEO Keywords,employee gifting,bottom,supporting,/industries/it-software-saas,industry-landing,landing page copy,industries,evergreen,3,low,targeted,Industry-tagged term supported by the Software / SaaS content on /industries/it-software-saas.
telecom client gifts,All,Telecom,SEO Keywords,client gifting,none,none,,none,none,excluded,evergreen,4,none,not-targeted,Machine-generated concatenation of the industry label and a generic term (retains the source spreadsheet's ' / ' separator). Not a phrase anyone types into a search engine; targeting it would produce copy no reader benefits from.
telecom corporate gifts,All,Telecom,SEO Keywords,industry-specific,none,none,,none,none,excluded,evergreen,4,none,not-targeted,Machine-generated concatenation of the industry label and a generic term (retains the source spreadsheet's ' / ' separator). Not a phrase anyone types into a search engine; targeting it would produce copy no reader benefits from.
telecom employee gifts,All,Telecom,SEO Keywords,industry-specific,none,none,,none,none,excluded,evergreen,4,none,not-targeted,Machine-generated concatenation of the industry label and a generic term (retains the source spreadsheet's ' / ' separator). Not a phrase anyone types into a search engine; targeting it would produce copy no reader benefits from.
telecom employee welcome kit,All,Telecom,SEO Keywords,employee gifting,none,none,,none,none,excluded,evergreen,4,none,not-targeted,Machine-generated concatenation of the industry label and a generic term (retains the source spreadsheet's ' / ' separator). Not a phrase anyone types into a search engine; targeting it would produce copy no reader benefits from.
telecom joining kit,All,Telecom,SEO Keywords,employee gifting,none,none,,none,none,excluded,evergreen,4,none,not-targeted,Machine-generated concatenation of the industry label and a generic term (retains the source spreadsheet's ' / ' separator). Not a phrase anyone types into a search engine; targeting it would produce copy no reader benefits from.
telecom onboarding kit,All,Telecom,SEO Keywords,employee gifting,none,none,,none,none,excluded,evergreen,4,none,not-targeted,Machine-generated concatenation of the industry label and a generic term (retains the source spreadsheet's ' / ' separator). Not a phrase anyone types into a search engine; targeting it would produce copy no reader benefits from.
telecom team gifts,All,Telecom,SEO Keywords,industry-specific,none,none,,none,none,excluded,evergreen,4,none,not-targeted,Machine-generated concatenation of the industry label and a generic term (retains the source spreadsheet's ' / ' separator). Not a phrase anyone types into a search engine; targeting it would produce copy no reader benefits from.
ESG friendly corporate gifts,All,All,SEO Keywords,sustainability,middle,supporting,/categories/eco-gifts,category,category page copy,eco-gifts,evergreen,2,low,targeted,Cluster-level variation supported by the category page /categories/eco-gifts.
HR welcome kit for new hires,All,All,SEO Keywords,employee gifting,bottom,supporting,/gifting/employee-onboarding,use-case-landing,landing page copy,gifting,evergreen,2,low,targeted,Occasion/programme intent served by /gifting/employee-onboarding.
brand experience gift kits,All,All,SEO Keywords,commercial investigation,middle,supporting,/gifting/employee-appreciation,use-case-landing,landing page copy,gifting,evergreen,2,low,targeted,Occasion/programme intent served by /gifting/employee-appreciation.
brandable welcome kits,All,All,SEO Keywords,employee gifting,bottom,supporting,/gifting/employee-onboarding,use-case-landing,landing page copy,gifting,evergreen,2,low,targeted,Occasion/programme intent served by /gifting/employee-onboarding.
branded employee experience kits,All,All,SEO Keywords,commercial investigation,middle,supporting,/,homepage,homepage copy,brand,evergreen,2,medium,targeted,"Broad brand-level commercial term. Owned by the homepage by design -- category and product pages deliberately do not compete for head terms, they link upward to them."
branded office accessories,All,All,SEO Keywords,commercial investigation,middle,supporting,/,homepage,homepage copy,brand,evergreen,2,medium,targeted,"Broad brand-level commercial term. Owned by the homepage by design -- category and product pages deliberately do not compete for head terms, they link upward to them."
branded stationery gifts,All,All,SEO Keywords,commercial investigation,middle,supporting,/,homepage,homepage copy,brand,evergreen,2,medium,targeted,"Broad brand-level commercial term. Owned by the homepage by design -- category and product pages deliberately do not compete for head terms, they link upward to them."
bulk corporate gifting,All,All,SEO Keywords,bulk purchase,bottom,secondary,/gifting/bulk-corporate-gifting,use-case-landing,landing page copy,gifting,evergreen,2,none,targeted,Declared secondary keyword of /gifting/bulk-corporate-gifting.
bulk employee welcome kits,All,All,SEO Keywords,bulk purchase,bottom,supporting,/gifting/employee-onboarding,use-case-landing,landing page copy,gifting,evergreen,2,low,targeted,Occasion/programme intent served by /gifting/employee-onboarding.
bulk onboarding gifts,All,All,SEO Keywords,bulk purchase,bottom,secondary,/gifting/employee-onboarding,use-case-landing,landing page copy,gifting,evergreen,2,none,targeted,Declared secondary keyword of /gifting/employee-onboarding.
channel partner corporate gifts,All,All,SEO Keywords,commercial investigation,bottom,primary,/gifting/dealer-channel-partner,use-case-landing,landing page copy,gifting,evergreen,1,none,targeted,Declared primary keyword of /gifting/dealer-channel-partner.
company culture welcome kit,All,All,SEO Keywords,employee gifting,bottom,secondary,/guides/employee-welcome-kit-guide,guide,buying guide,guides,evergreen,2,none,targeted,Declared secondary keyword of /guides/employee-welcome-kit-guide.
conference delegate gift set,All,All,SEO Keywords,event gifting,bottom,secondary,/gifting/events-conferences,use-case-landing,landing page copy,gifting,evergreen,2,none,targeted,Declared secondary keyword of /gifting/events-conferences.
corporate desk essentials,All,All,SEO Keywords,commercial investigation,middle,supporting,/shop,listing,product listing,shop,evergreen,4,low,targeted,Generic browse term with no more specific owner; served by the full catalog listing.
corporate event merchandise,All,All,SEO Keywords,event gifting,bottom,secondary,/gifting/events-conferences,use-case-landing,landing page copy,gifting,evergreen,2,none,targeted,Declared secondary keyword of /gifting/events-conferences.
corporate gifting for 100 employees,All,All,SEO Keywords,bulk purchase,bottom,primary,/guides/corporate-gifting-budget-guide,guide,buying guide,guides,evergreen,1,none,targeted,Declared primary keyword of /guides/corporate-gifting-budget-guide.
corporate gifting for 50 employees,All,All,SEO Keywords,bulk purchase,bottom,secondary,/guides/corporate-gifting-budget-guide,guide,buying guide,guides,evergreen,2,none,targeted,Declared secondary keyword of /guides/corporate-gifting-budget-guide.
corporate gifting for 500 employees,All,All,SEO Keywords,bulk purchase,bottom,secondary,/gifting/bulk-corporate-gifting,use-case-landing,landing page copy,gifting,evergreen,2,none,targeted,Declared secondary keyword of /gifting/bulk-corporate-gifting.
corporate gifting for HR teams,All,All,SEO Keywords,commercial investigation,middle,supporting,/,homepage,homepage copy,brand,evergreen,2,medium,targeted,"Broad brand-level commercial term. Owned by the homepage by design -- category and product pages deliberately do not compete for head terms, they link upward to them."
corporate gifting for employee retention,All,All,SEO Keywords,commercial investigation,middle,supporting,/gifting/employee-appreciation,use-case-landing,landing page copy,gifting,evergreen,2,low,targeted,Occasion/programme intent served by /gifting/employee-appreciation.
corporate gifting for growing teams,All,All,SEO Keywords,commercial investigation,middle,supporting,/,homepage,homepage copy,brand,evergreen,2,medium,targeted,"Broad brand-level commercial term. Owned by the homepage by design -- category and product pages deliberately do not compete for head terms, they link upward to them."
corporate gifting for people ops,All,All,SEO Keywords,commercial investigation,middle,supporting,/,homepage,homepage copy,brand,evergreen,2,medium,targeted,"Broad brand-level commercial term. Owned by the homepage by design -- category and product pages deliberately do not compete for head terms, they link upward to them."
corporate gifting for startups,All,All,SEO Keywords,commercial investigation,middle,supporting,/,homepage,homepage copy,brand,evergreen,2,medium,targeted,"Broad brand-level commercial term. Owned by the homepage by design -- category and product pages deliberately do not compete for head terms, they link upward to them."
corporate gifting for tech companies,All,All,SEO Keywords,commercial investigation,middle,supporting,/,homepage,homepage copy,brand,evergreen,2,medium,targeted,"Broad brand-level commercial term. Owned by the homepage by design -- category and product pages deliberately do not compete for head terms, they link upward to them."
corporate gifts for remote employees,All,All,SEO Keywords,commercial investigation,middle,supporting,/,homepage,homepage copy,brand,evergreen,2,medium,targeted,"Broad brand-level commercial term. Owned by the homepage by design -- category and product pages deliberately do not compete for head terms, they link upward to them."
corporate merchandise gifts,All,All,SEO Keywords,promotional merchandise,middle,supporting,/,homepage,homepage copy,brand,evergreen,2,medium,targeted,"Broad brand-level commercial term. Owned by the homepage by design -- category and product pages deliberately do not compete for head terms, they link upward to them."
corporate notebook and pen set,All,All,SEO Keywords,product-specific,middle,supporting,/shop,listing,product listing,shop,evergreen,4,low,targeted,Generic browse term with no more specific owner; served by the full catalog listing.
corporate stationery kit,All,All,SEO Keywords,product-specific,middle,supporting,/shop,listing,product listing,shop,evergreen,4,low,targeted,Generic browse term with no more specific owner; served by the full catalog listing.
curated corporate gift boxes,All,All,SEO Keywords,commercial investigation,middle,supporting,/,homepage,homepage copy,brand,evergreen,2,medium,targeted,"Broad brand-level commercial term. Owned by the homepage by design -- category and product pages deliberately do not compete for head terms, they link upward to them."
custom branded onboarding kits,All,All,SEO Keywords,employee gifting,bottom,secondary,/gifting/employee-onboarding,use-case-landing,landing page copy,gifting,evergreen,2,none,targeted,Declared secondary keyword of /gifting/employee-onboarding.
custom corporate gift boxes,All,All,SEO Keywords,product-specific,middle,supporting,/,homepage,homepage copy,brand,evergreen,2,medium,targeted,"Broad brand-level commercial term. Owned by the homepage by design -- category and product pages deliberately do not compete for head terms, they link upward to them."
custom stationery gift sets,All,All,SEO Keywords,product-specific,middle,supporting,/,homepage,homepage copy,brand,evergreen,2,medium,targeted,"Broad brand-level commercial term. Owned by the homepage by design -- category and product pages deliberately do not compete for head terms, they link upward to them."
customer appreciation gift sets,All,All,SEO Keywords,client gifting,bottom,secondary,/gifting/client-appreciation,use-case-landing,landing page copy,gifting,evergreen,2,none,targeted,Declared secondary keyword of /gifting/client-appreciation.
dealer and distributor gifts,All,All,SEO Keywords,commercial investigation,middle,secondary,/industries/manufacturing,industry-landing,landing page copy,industries,evergreen,2,none,targeted,Declared secondary keyword of /industries/manufacturing.
desk essentials gift set,All,All,SEO Keywords,product-specific,middle,supporting,/shop,listing,product listing,shop,evergreen,4,low,targeted,Generic browse term with no more specific owner; served by the full catalog listing.
desk friendly corporate gifts,All,All,SEO Keywords,commercial investigation,middle,supporting,/,homepage,homepage copy,brand,evergreen,2,medium,targeted,"Broad brand-level commercial term. Owned by the homepage by design -- category and product pages deliberately do not compete for head terms, they link upward to them."
employee appreciation box,All,All,SEO Keywords,product-specific,bottom,secondary,/gifting/employee-appreciation,use-case-landing,landing page copy,gifting,evergreen,2,none,targeted,Declared secondary keyword of /gifting/employee-appreciation.
